nquest;versao;pf1;idade1;idade;sexo;p1;p2;p2a;p2b;p2c;p3a;p3b;p3c;p3d;p3e;p3f;p3g;p3h;p3i;p3j;p3k;p4a;p4b;p4c;p4d;p4e;p4f;p4g;p4h;p4i;p4j;p4k;p6a;p6b;p6c;p6d;p6e;p6f;p6g;p6h;p6i;p6j;p7a;p7b;p7c;p7d;p7e;p7f;p7g;p7h;p8a;p8b;p8c;p9;p10;p11;p12;partido;religiao;pea;escola;rendaf;regiao;bairro
37451309;9;1;39;3;1;10;10;15;1;0;4;1;1;4;4;1;1;1;1;1;3;2;3;0;0;0;0;0;0;0;0;0;6;3;8;10;3;10;10;6;10;3;1;1;3;2;1;1;1;1;5;2;1;2;2;1;1;96;1;1;5;2;4;47
37451346;9;1;18;1;1;99;2;45;2;96;4;3;3;4;4;3;4;4;4;3;4;1;4;7;0;0;0;0;0;0;0;0;2;2;2;2;3;10;10;96;10;3;1;1;3;1;1;1;1;1;1;7;6;2;1;96;1;96;9;13;4;3;4;47
37451372;9;1;61;5;1;6;6;45;2;2;4;1;1;4;4;1;4;2;3;2;4;3;5;7;9;11;0;0;0;0;0;0;99;2;2;2;6;6;10;6;10;96;1;1;2;2;1;1;1;1;1;7;2;99;1;2;1;96;6;12;2;2;5;90
37451392;9;1;36;3;1;98;7;28;1;0;4;1;1;4;4;1;1;1;4;1;4;4;0;0;0;0;0;0;0;0;0;0;2;2;2;2;3;10;10;8;10;3;1;2;1;1;1;2;1;1;8;1;5;1;1;1;1;2;6;1;5;2;4;74
37451458;9;1;49;4;2;3;3;13;1;0;2;2;1;4;4;3;3;1;3;1;3;4;7;9;10;0;0;0;0;0;0;0;96;3;8;96;3;96;3;8;8;3;1;1;2;2;1;2;1;1;1;8;7;1;2;1;1;96;6;10;5;3;4;78
37451546;9;1;19;1;1;99;2;10;2;3;4;2;3;3;3;3;3;2;4;3;4;1;4;5;7;11;0;0;0;0;0;0;2;2;2;2;3;6;10;6;10;3;1;1;3;2;1;1;1;1;1;6;5;1;1;95;1;2;6;7;4;3;3;19
37451809;9;1;20;1;1;96;96;996;1;0;4;1;1;4;4;1;1;4;4;1;1;2;3;0;0;0;0;0;0;0;0;0;6;96;96;96;6;96;96;96;96;96;1;1;3;1;99;3;1;1;1;8;7;2;1;99;1;96;9;7;5;3;4;77
37451815;9;1;19;1;2;99;6;15;2;2;3;2;2;4;4;2;3;3;3;2;4;18;0;0;0;0;0;0;0;0;0;0;6;3;2;2;6;6;3;6;10;3;1;1;3;2;1;1;1;1;1;2;5;2;1;99;1;96;9;10;3;1;4;31
37451835;9;1;26;2;2;99;96;990;2;6;4;1;2;4;4;2;2;1;4;1;4;8;10;0;0;0;0;0;0;0;0;0;6;96;96;96;6;6;96;6;96;96;1;1;2;2;1;1;1;1;1;2;5;3;2;1;1;96;6;11;7;1;4;31
37452005;9;1;17;1;2;99;2;994;1;0;4;1;2;4;4;3;3;4;4;1;4;3;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;6;10;96;10;96;1;1;2;2;1;1;2;1;1;5;2;3;2;99;1;96;2;1;4;1;4;83
37452255;9;1;59;4;1;10;10;15;1;0;4;1;1;4;3;4;3;2;2;1;4;1;5;0;0;0;0;0;0;0;0;0;2;2;2;10;96;10;10;96;10;96;1;1;1;1;1;1;1;1;1;2;5;1;1;1;1;96;6;12;5;4;3;33
